dataset,horizon,MSE,MAE
weather,96,0.166,0.222
weather,192,0.209,0.263
weather,336,0.254,0.301
weather,720,0.313,0.340
traffic,96,0.336,0.253
traffic,192,0.346,0.257
traffic,336,0.355,0.260
traffic,720,0.386,0.273
electricity,96,0.132,0.229
electricity,192,0.147,0.243
electricity,336,0.161,0.261
electricity,720,0.196,0.294
ETTh1,96,0.375,0.398
ETTh1,192,0.412,0.422
ETTh1,336,0.435,0.433
ETTh1,720,0.454,0.465
ETTh2,96,0.270,0.336
ETTh2,192,0.332,0.380
ETTh2,336,0.360,0.407
ETTh2,720,0.419,0.451
ETTm1,96,0.306,0.349
ETTm1,192,0.335,0.366
ETTm1,336,0.364,0.384
ETTm1,720,0.413,0.413
ETTm2,96,0.161,0.251
ETTm2,192,0.215,0.289
ETTm2,336,0.267,0.326
ETTm2,720,0.352,0.383
